city,municipality,location,info
Athens,Kallithea,Άλσος Νέα Σμύρνη 171 21,Άλσος
Athens,Marousi,Κηφισίας 37 Αθήνα 151 23,Ολυμπιακό Στάδιο
Athens,Athens,Λεωφ. Βασιλέως Κωνσταντίνου Αθήνα 116 35,Παναθηναικό Στάδιο
Athens,Kallithea,Λεωφ. Ανδρέα Συγγρού 364 Καλλιθέα 176 74,Πάρκο Σταύρος Νιάρχος
Athens,Alimos,Αθήνα 175 61,Μαρίνα Φλοίσβου
Athens,Ilion,Λεωφ. Δημοκρατίας 17 Καματερό 134 51,Πάρκο Τρίτση
Athens,Voula,Βουλιαγμένη 166 71,Παραλία Καβούρι
Athens,Athens,Αθήνα 105 58,Αναφιώτικα και Φιλοπάππου
Athens,Zografos,Αθήνα 115 28,Άλσος Ιλισιών
Athens,Athens,Λεωφ. Βασιλίσσης Όλγας Αθήνα 105 57,Ζάππειο
Athens,Kolonaki,Αθήνα 114 71,Περιφερειακός Λυκαβηττού
Athens,Galatsi,Ταϋγέτου 60 Αθήνα 112 55,Στοίβος Γκράβα
Athens,Cholargos,Παπάγου-Χολαργός 155 62,Περιφερειακή Υμηττού
Athens,Filothei,Μαρκ. Μπότσαρη 34 Φιλοθέη 152 37,Λόφος Φιλοθέης
Athens,Cholargos,Αριστοτέλους 83 Χολαργός 155 62,Γήπεδο Χολαργού
Athens,Marousi,Μαρούσι 151 26,Άλσος  Κτήματος Συγγρού
Athens,Athens,Pedion Areos,Πεδίο του Άρεως
Athens,Galatsi,Γαλάτσι 111 47,Άλσος Βεϊκου
Athens,Agios Dimitrios,Εθ. Αντιστάσεως 41 Δάφνη Αττικής 172 37,Γυμναστική Ακαδημία Δάφνης
Athens,Zografos,Ερυθρού Σταυρού 51a Καισαριανή 161 21,Πάρκο Σκοπευτηρίου Κεσαριανής
Athens,Zografos,Ζωγράφου 115 27,Πολυτεχνειούπολη
Athens,Zografos,Ζωγράφου 157 72,Πανεπιστημιούπολη
Athens,Chalandri,Κηφισίας 192,Ζηρίνειο Στάδιο
Athens,Chalandri,Μυκόνου Χαλάνδρι 152 31,Δημοτικό Στάδιο Χαλανδρίου
Athens,Chaidari,Μπουμπουλίνας 46 Χαϊδάρι 124 62,Αθλητικό Κέντρο Χαϊδαρίου
Athens,Piraeus,Πειραιάς 185 33,Στάδιο Ειρήνης και Φιλίας
Athens,Elliniko,Ελληνικό 167 77,Άγιος Κοσμάς
Athens,Aigaleo,Ολυμπίας 11 Αιγάλεω 122 43,Μπαρουτάδικο
Athens,Glyfada,Άλσους 15 Γλυφάδα 166 75,Παραλιακή Γλυφάδα
Athens,Acharnes,Αχαρνές 136 72,Ορείνη Διαδρόμη Πάρνηθας
Athens,Piraeus,Λεωφ. Βασιλέως Παύλου 10 Πειραιάς 185 34,Παραλία Καστέλλας
Athens,Kallithea,Γρίβα 3 Καλλιθέα 176 71,Στάδιο Καλλιθέας Γρηγόρης Λαμπράκης
Athens,Athens,Ευελπίδων 2 Αθήνα 114 74,Πανελλήνιος Αθλητικός Σύλλογος
Athens,Zografos,Αθήνα 115 27,Ελληνική Ποδοσφαιρική Ομοσπονδία
Athens,Athens,Leof. Vasilissis Olgas 6 Αθήνα 105 57,Εθνικός Γυμναστικός Σύλλογος
Athens,Zografos,Κοκκινοπούλου 23,Δημοτικό Στάδιο Ζωγράφου
Athens,Glyfada,Ναπολέοντος Ζέρβα 56,Γυμναστικός Σύλλογος Γλυφάδας
Athens,Aigaleo,Σουλίου 44 Αιγάλεω 122 43,Αθλητική Ακαδημία Αιγάλεω
Athens,Peristeri,Κρέσνας 82 Περιστέρι 121 37,Γ.Ο.Π Γιάννης Παλάσκας (Στίβος)
Athens,Piraeus,Τέρμα Λεωφ. Χατζηκυριάκου 48,Αθήνα 185 39,Στίβος Πειραιάς
Athens,Filothei,Καλλιγά 77 Φιλοθέη 152 37,Στίβος της Φιλοθέης
Thessaloniki,Thessaloniki,Νεα Παραλια Θεσσαλονικης,Νέα Παραλία
Thessaloniki,Thessaloniki,Θεσσαλονίκη 546 36 Ελλάδα,Καυταντζόγλειο Στάδιο
Thessaloniki,Thessaloniki,Λεωφ. 28ης Οκτωβρίου 157 Αμπελόκηποι 561 21,Δημοτικό Στάδιο Αμπελοκήπων
Thessaloniki,Thessaloniki,Άνω Πόλη Θεσσαλονίκη Ελλάδα,Άνω Πόλη
Thessaloniki,Thermi,Γεφυρα Φράγματος Θέρμης Πανόραμα 552 36,Φράγμα Θέρμης
Thessaloniki,Panorama,Στ Παρασκευοπούλου Πανόραμα 552 36,Μονοπάτι του Βαθυλάκου
Thessaloniki,Oraiokastro,Λουτρά Λαγκαδά 572 00,Λουτρά Λαγκαδά
Thessaloniki,Kalamaria,Καλαμαριά 551 32,Μαρίνα Καλαμαριάς
Thessaloniki,Evosmos,Φαιστού 34 Εύοσμος 562 24,Δημοτικό Αθλητικό Πάρκο
Thessaloniki,Volvi,570 20,Στίβος Θεσσαλονίκης
